id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4606903,Reversible Destiny Lofts/for2people,23871736,Matsuda,,Mitaka Shi,35.68002,139.53689,Private room,20000,3,23,2019-10-11,0.37,2,170,0,M130004784
4616579,Furnished Private Apt.213,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73414,139.63305,Entire home/apt,4689,3,73,2020-01-15,0.92,9,90,0,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第52号
4673248,Reversible Destiny Lofts/for4people,23871736,Matsuda,,Mitaka Shi,35.6818,139.53855,Entire home/apt,22000,3,36,2019-10-15,0.71,2,171,1,M130004785
4709339,Room in Central Tokyo!!!!,24339628,Taichiro,,Shinagawa Ku,35.59849,139.72984,Private room,8000,1,49,2019-12-20,0.61,4,56,0,M130000400
4750169,4persons! Shinjuku30min Tokyo45min!,23416902,Naga,,Hino Shi,35.68548,139.39496,Entire home/apt,4719,5,44,2019-05-30,0.58,2,365,0,M130008296
4813245,*NEW*TOKYO HOUSE group&family upto7 & carpark WIFI,9782688,Kevin,,Toshima Ku,35.73055,139.68657,Entire home/apt,17083,3,142,2019-06-21,1.80,5,153,0,M130006713
4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,,Taito Ku,35.72804,139.79048,Entire home/apt,10000,1,270,2021-08-09,3.44,2,236,4,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第219号
4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1),24812892,Mao,,Shibuya Ku,35.67748,139.68059,Entire home/apt,5193,1,232,2020-05-13,2.97,1,59,8,Hotels and Inns Business Act | 渋谷区保健所 | 31渋健生収第3946号
4827373,calm room-A  3min from Shinjuku by Subway,24026566,Kazu,,Nakano Ku,35.6929,139.67914,Private room,8200,1,196,2020-02-19,2.48,2,152,0,M130001011
4849854,Villa Takaosan,400207807,さやか,,Hachioji Shi,35.63738,139.2863,Entire home/apt,12286,2,142,2019-11-02,1.90,1,353,7,M130001407
4888140,(1) 5ppl 2bank beds 11mins Shinjuku. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76117,139.71597,Entire home/apt,2066,3,192,2019-04-12,2.43,6,258,3,M130004685
4909611,J's APT 2 Bed Rooms + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.73809,139.85124,Entire home/apt,10086,4,285,2020-03-07,3.61,8,221,1,M130002147
4917347,Cedar APT  +  Free Pocket Wi-Fi,7740848,K Family,,Katsushika Ku,35.73816,139.85174,Entire home/apt,9286,4,267,2020-02-16,3.30,8,225,0,M130002147
4925503,SHIBUYA SHINJUKU  Hatagaya Station 5 minutes#103,25370510,Mitsuko,,Shibuya Ku,35.67923,139.67571,Entire home/apt,3021,2,167,2020-01-12,2.52,6,337,14,M130002439
4925745,New House 100㎡ near metro happy!!!!,23595333,Keiko,,Taito Ku,35.72951,139.79137,Entire home/apt,18000,1,258,2020-02-24,3.40,2,321,6,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第220号
4926317,#102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 観光ショッピングに便利！,25370510,Mitsuko,,Shibuya Ku,35.68068,139.6753,Entire home/apt,8000,1,269,2020-10-28,3.30,6,139,2,M130003221
4926426,#203 新宿/渋谷　テレワーク/受験生/NURO光 FREE WIFI/感染対策済み/駅近,25370510,Mitsuko,,Shibuya Ku,35.67933,139.67511,Entire home/apt,8000,2,228,2019-11-28,2.94,6,60,2,M130002430
4951604,Traditional Zen house in Harajuku,25523994,Miwako,,Shibuya Ku,35.67129,139.71021,Entire home/apt,26797,4,107,2020-04-07,1.36,1,88,0,M130001385
4958750,Convenient charming house,20993205,Seiichi & Keiko,,Edogawa Ku,35.73673,139.88586,Private room,5000,3,100,2019-06-10,1.26,1,179,0,M130000008
5070495,Private Cozy Apt. 111 in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73496,139.63132,Entire home/apt,8374,3,74,2019-11-25,0.92,9,90,3,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第52号
5080877,Decoboco( Artist's Studio  the second floor),21769906,Decoboco,,Koto Ku,35.68162,139.81859,Entire home/apt,6500,1,234,2020-02-27,2.89,2,0,0,Hotels and Inns Business Act | 東京都江東区保健所 | ３０江健生環第８５号
5128066,家族でのご利用にお得なおしゃれな一軒家、まるまるプラン。,26509472,里枝,,Hino Shi,35.66669,139.42091,Private room,20000,1,3,2019-08-22,0.08,1,179,0,M130000614
5128293,Dormitory3  with BALCONY,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70276,Shared room,4266,2,134,2020-01-23,1.74,13,271,0,M130002186
5198467,Wonderful Japanese style OTOME! (*´ω｀),25911199,Aya,,Bunkyo Ku,35.72129,139.76323,Entire home/apt,23000,1,35,2018-06-24,0.51,1,89,1,M130017222
5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,14861,2,228,2020-09-30,3.05,4,106,7,M130005397
5217466,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73404,139.63128,Entire home/apt,4689,3,87,2019-05-02,1.13,9,90,1,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第52号
5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,14035,2,193,2021-03-29,2.55,4,122,9,M130005396
5255533,"Hiroo - 8 person, 4 bedroom & 2 bath family apart",15330352,Lauren & Tats,,Minato Ku,35.64703,139.72973,Entire home/apt,28000,30,118,2020-02-17,1.92,1,69,0,M130002020
5262640,Private Cozy Apt in Tokyo 413,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73445,139.63139,Entire home/apt,4689,3,52,2020-01-04,0.70,9,90,0,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第52号
5262658,Private Cozy Apt in Tokyo 311,17736560,ﾀﾂﾛｳ (Taturo),,Nerima Ku,35.73588,139.63159,Entire home/apt,6141,3,117,2020-03-10,1.50,9,90,0,Hotels and Inns Business Act | 東京都中野区保健所 |  30中環生環第52号
5273171,ROOM IN CENTRAL TOKYO!!!,24339628,Taichiro,,Shinagawa Ku,35.59836,139.72794,Private room,5000,1,216,2019-11-24,2.73,4,57,0,M130000400
5380507,Good access to Shinjuku&Nakano 沼袋駅,26407522,Yoko,,Nakano Ku,35.72064,139.6675,Entire home/apt,5300,2,130,2019-11-28,1.65,2,89,0,M130000418
5407938,Heart of Shinjuku/Free Pocket Wifi/Homey^^,28035085,Koichi,,Shinjuku Ku,35.69346,139.70823,Entire home/apt,8000,2,285,2020-11-02,3.66,4,0,2,M130004171
5410242,Steve's International Guest Place,28045851,Steve,,Suginami Ku,35.70055,139.60022,Entire home/apt,7257,4,51,2019-10-14,0.93,1,173,0,M130000018
5414578,One Room Apartment with own bathroom (A3),25865449,Seungkwan,,Shinjuku Ku,35.70122,139.70571,Entire home/apt,11514,3,15,2018-10-29,0.39,17,340,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5464305,Finest Cafe/Bar/Hotel 2F in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,,Suginami Ku,35.70656,139.63583,Entire home/apt,3500,2,125,2020-01-04,1.59,3,347,2,Hotels and Inns Business Act | 東京都杉並区保健所 | 31杉保衛環第50号
5516726,10min to Shinjuku:Mt. Fuji view from the rooftop,24781998,Airin,,Nakano Ku,35.72085,139.64121,Private room,15000,1,23,2019-04-05,0.34,1,179,0,M130000774
5562958,Room in Central Tokyo!,24339628,Taichiro,,Shinagawa Ku,35.59673,139.72973,Private room,5000,1,82,2019-12-05,1.49,4,56,0,M130000400
5563021,Room in Central Tokyo!!,24339628,Taichiro,,Shinagawa Ku,35.59885,139.72802,Private room,6000,1,75,2019-11-03,0.96,4,56,0,M130000400
5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,Insta-Homes,,Nerima Ku,35.73172,139.66583,Private room,6214,1,208,2019-11-04,3.42,3,177,0,M130000891
5583920,One-Room Apartment with Own Bathroom (A5-1),25865449,Seungkwan,,Shinjuku Ku,35.70019,139.70523,Entire home/apt,16914,3,16,2018-10-18,0.26,17,313,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5585604,Two-bedroom Apartment with Own Bathroom,25865449,Seungkwan,,Shinjuku Ku,35.70041,139.70621,Private room,17126,3,14,2018-09-13,0.44,17,340,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,17736560,ﾀﾂﾛｳ (Taturo),,Nerima Ku,35.7359,139.63151,Entire home/apt,6699,3,39,2019-04-15,0.52,9,90,0,Hotels and Inns Business Act | 東京都中野区保健所 | 30中環生環第52号
5641920,#312 Furnished Private Apt.,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.7348,139.63141,Entire home/apt,6699,3,24,2019-10-16,0.33,9,90,0,Hotels and Inns Business Act |  東京都中野区保健所 |  30中環生環第52号
5643408,One Room Apartment with own bathroom (A3),25865449,Seungkwan,,Shinjuku Ku,35.69955,139.70423,Entire home/apt,11514,3,16,2019-07-15,0.41,17,340,0,Hotels and Inns Business Act | 東京都新宿区保健所 | 26新保衛環第170号
5655387,BLENDIA Share house : Homestay #1,29311815,Motoki,,Shinagawa Ku,35.62619,139.70798,Shared room,2057,1,210,2019-06-08,2.64,6,182,0,M540000010
5661072,Shinjuku Hyakunincho 3mins to JR station,21504159,Michi,,Shinjuku Ku,35.70035,139.6967,Entire home/apt,9257,30,121,2020-01-18,1.53,25,131,5,M130004190
5673677,"A cozy room  Shinjuku, Shibuya and Shimokitazawa!",15282125,Kanako,,Setagaya Ku,35.66432,139.65839,Private room,7500,2,56,2019-12-08,0.83,1,91,0,M130008796
5719870,東京駅まで13分、新小岩駅徒歩3分のリッチ！隣商店街あり、便利！,29410164,JCK Residence,,Katsushika Ku,35.71679,139.85669,Entire home/apt,15000,3,90,2019-11-02,1.15,4,364,0,Hotels and Inns Business Act | 葛飾区保健所長 中西 好子 | 28葛保生環第135号
5730246,"便利,干净,convenient,cheap,center Tokyo",24087904,Rinrin,,Taito Ku,35.7284,139.76512,Entire home/apt,8000,1,190,2019-10-20,2.41,5,365,0,M130000627
5730491,BLENDIA Share house : Homestay #2,29311815,Motoki,,Shinagawa Ku,35.62578,139.70807,Shared room,2057,1,183,2020-01-12,2.31,6,0,1,M540000010
5730522,BLENDIA Share house : Homestay #3,29311815,Motoki,,Shinagawa Ku,35.6259,139.70805,Shared room,2057,1,181,2019-07-06,2.28,6,182,0,M540000010
5738050,Enjoy local life in Tokyo,29758027,Chieko,,Ota Ku,35.56976,139.69158,Entire home/apt,5000,3,134,2021-07-20,1.72,1,229,3,Special Economic Zoning Act | 30健生発第10252号
5815307,Hiroo & Ebisu Cozy Room 1,19615511,Panda,,Shibuya Ku,35.64757,139.71994,Entire home/apt,4000,2,100,2021-09-17,1.32,2,2,3,M130003475
5815506,東京根津ステンドグラス美術館＆ゲストハウス（Since 2008),18289292,武男,,Bunkyo Ku,35.71934,139.76508,Private room,5300,1,32,2019-11-24,1.21,1,323,1,M130006097
5816176,Cosy  room nr. Jiyugaoka/Den-en-chofu,30182326,Hana,,Setagaya Ku,35.59677,139.67264,Private room,10086,2,8,2018-07-11,0.21,1,273,0,M130000995
5876019,"Residential area, Peaceful Traditional House 1",20307199,Hotaka,,Higashimurayama Shi,35.76544,139.44477,Private room,3908,2,69,2019-07-08,0.89,3,364,0,M130000492
5898156,"Good place, Clean rooms with WiFi",5766088,Ueda,,Setagaya Ku,35.67317,139.61968,Entire home/apt,13000,3,24,2018-12-31,0.36,1,363,0,M130000658
5932309,"Japanese cosy vintage house, easy access in Tokyo",30745996,Chie,,Kita Ku,35.74408,139.72525,Entire home/apt,5000,2,212,2021-04-05,2.76,1,86,4,M130000232
5936568,3Private apartment Tokyo machida,22038803,Suda,,Machida Shi,35.56134,139.46284,Entire home/apt,4500,3,51,2019-09-03,0.82,1,234,3,M130000362
5940498,2F Corner Room w/ Comfortable Double Bed,30840659,Guesthouse,,Katsushika Ku,35.76787,139.86487,Private room,3800,2,90,2019-03-06,1.15,4,88,0,Hotels and Inns Business Act | 東京都葛飾区保健所 | 26 葛保生第 3209 号
5949669,"#201 Licensed. 7mins Sta,Tatami room. convinient",30883070,Takeshi,,Koto Ku,35.68285,139.81551,Private room,3250,1,323,2020-01-07,4.41,29,359,22,Hotels and Inns Business Act | 東京都江東区保健所 | ２８江健生環き第１０４号
5963368,Near池袋-Trad. JP. villa w/ free wifi,29681737,文娟,,Nerima Ku,35.7646,139.66835,Private room,6945,1,36,2019-06-22,0.47,5,364,0,M130001805
5979941,"7min to Station, Japanese style room, Free WiFi",30840659,Guesthouse,,Katsushika Ku,35.76776,139.86466,Private room,5213,2,27,2018-11-25,0.39,4,88,0,Hotels and Inns Business Act | 東京都葛飾区保健所 | 26葛保生第3209号
